Repository,File Path,File URL
pgierz/dots,.config/omz_custom/openai.zsh,https://github.com/pgierz/dots/blob/04ecf3492dfee259647c79345068a391fadec53e/.config/omz_custom/openai.zsh
josephwegner/dotfiles,.config/Alfred.alfredpreferences/workflows/user.workflow.031FA34D-D696-4009-938E-2301F1706048/src/libs/openai/util.py,https://github.com/josephwegner/dotfiles/blob/68f96ea4af395a11a5471de1294981ad3581f612/.config/Alfred.alfredpreferences/workflows/user.workflow.031FA34D-D696-4009-938E-2301F1706048/src/libs/openai/util.py
Rabeez/dotfiles,.config/nvim/lua/plugins/ai.lua,https://github.com/Rabeez/dotfiles/blob/f6b4f0bb2c3e9a6f0eb1fe5c56693c33f9964644/.config/nvim/lua/plugins/ai.lua
Game-Warrior/dotfiles,.config/emacs.gb/config.org,https://github.com/Game-Warrior/dotfiles/blob/7acf246ad2ed78b3d2aea6723ff060cb9cf04e96/.config/emacs.gb/config.org
michal-kopczynski/.dotfiles,.config/nvim/lua/plugins/gp.lua,https://github.com/michal-kopczynski/.dotfiles/blob/e49202d98739d6f8dfb68617bbe3f6351021e80b/.config/nvim/lua/plugins/gp.lua
hugostanley/dotfiles,.config/fish/config.fish,https://github.com/hugostanley/dotfiles/blob/97600e8fedd66b0db55b86f42afaba02d9dc3a76/.config/fish/config.fish
g0t4/dotfiles,.config/editrc/.editrc,https://github.com/g0t4/dotfiles/blob/32f1ea0f14bf1fd4078d50855d23cc04d5696637/.config/editrc/.editrc
phdenzel/dotfiles,.config/emacs/phd-emacs.org,https://github.com/phdenzel/dotfiles/blob/4eacceeadf5e0514eefb18fef9831afc4a5792cc/.config/emacs/phd-emacs.org
jjaimealeman/dotfiles-endeavour-os,.config/zsh/.zshrc,https://github.com/jjaimealeman/dotfiles-endeavour-os/blob/fa2ffab9d347cc21753c1baa68d46411a118d13c/.config/zsh/.zshrc
rnmp/dotfiles,.config/zsh/history.zsh,https://github.com/rnmp/dotfiles/blob/782f5b18579a54bc8c7f64a8abba380fe246f03b/.config/zsh/history.zsh
Prutserdt/dotfiles,.config/doom/README.org,https://github.com/Prutserdt/dotfiles/blob/407a69708d34c1ba8b631ff592188fa76f400222/.config/doom/README.org
EricCrosson/dotfiles,.config/librechat/librechat.yaml,https://github.com/EricCrosson/dotfiles/blob/91c43fcaa7acced8a369e6fd42b86953dfcc4950/.config/librechat/librechat.yaml
MrClaro/dotfiles,.config/nvim/lua/plugins/copilot.lua,https://github.com/MrClaro/dotfiles/blob/3e8b89dc2acafa6b9060ca69a2850863e3cec10c/.config/nvim/lua/plugins/copilot.lua
amtoine/dotfiles,.config/qutebrowser/quickmarks,https://github.com/amtoine/dotfiles/blob/7b00e4c108795374a33483693887718937e854dc/.config/qutebrowser/quickmarks
nsbgn/dotfiles,.config/yadm/apps/vosk,https://github.com/nsbgn/dotfiles/blob/9fcda775b8f368c3d598f66f44a3f0fe9a5b25cf/.config/yadm/apps/vosk
juliohmb/dotfiles,.config/VSCodium/User/History/731bcba6/gHxQ.py,https://github.com/juliohmb/dotfiles/blob/7400fdd3ef7a048db14cc8f0db91773bf27d2094/.config/VSCodium/User/History/731bcba6/gHxQ.py
samcaf/config,.config/fish/config.fish.pysave,https://github.com/samcaf/config/blob/899502ff6d64839b5e270bfbffe8eacfd445e505/.config/fish/config.fish.pysave
bluebyt/Wayfire-dots,.config/zed/settings.json,https://github.com/bluebyt/Wayfire-dots/blob/b620b0d4cd61aef14297fe57862ffb533cbe30cd/.config/zed/settings.json
suzumenobu2/dotfiles,.config/fish/functions/setup_env.fish,https://github.com/suzumenobu2/dotfiles/blob/5ca62c3c4012abe871697c4de26b9d8aa1d15fd9/.config/fish/functions/setup_env.fish
Niumination/dotfiles,.config/Code - OSS/User/History/17113da4/KSY0.js,https://github.com/Niumination/dotfiles/blob/0b26930639446dac4b0bffc1aca5db21eb106240/.config/Code%20-%20OSS/User/History/17113da4/KSY0.js
mikedfunk/dots,.config/homebrew/Brewfile,https://github.com/mikedfunk/dots/blob/0de963cc90afee7e69bc833b324970a437f39ae5/.config/homebrew/Brewfile
GeorgeHarbor/dotfiles,.config/nvim/lua/plugins/gp.lua,https://github.com/GeorgeHarbor/dotfiles/blob/003e632a71cba411788ae2dd533b169d424217b7/.config/nvim/lua/plugins/gp.lua
sijan2/dotfiles,.config/fish/config.fish,https://github.com/sijan2/dotfiles/blob/8545391f9126993a418bd92f3a5df2fe55ec01ae/.config/fish/config.fish
abayomi185/dotfiles,.config/astronvim/lua/user/plugins/user.lua,https://github.com/abayomi185/dotfiles/blob/02817633224e312147cb57b225aa1a69e44a9312/.config/astronvim/lua/user/plugins/user.lua
Takashiidobe/dot_files,.config/fish/fish/config.fish,https://github.com/Takashiidobe/dot_files/blob/f2cb17de99a113c6b0d6cfcc4c84bb57936fc792/.config/fish/fish/config.fish
Peglah/dotfiles,.config/nvim/lua/plugins/backseat_nvim.lua,https://github.com/Peglah/dotfiles/blob/66fff1c854d406b49c3cec89b08d8cd6cd4ace72/.config/nvim/lua/plugins/backseat_nvim.lua
zmyrgel/dotfiles,.config/emacs/init.d/init-programming.el,https://github.com/zmyrgel/dotfiles/blob/4b62ffb287c8111c713b3394b59692130b6216b7/.config/emacs/init.d/init-programming.el
Twilight4/dotfiles,.config/emacs/config.org,https://github.com/Twilight4/dotfiles/blob/8a37907e69de88e49850f2d5081e10e2a6398bdd/.config/emacs/config.org
duyhung30/dots_v2,.config/fish/config.fish,https://github.com/duyhung30/dots_v2/blob/a7a423a96088298b2a3b3483252c95a4f2d9ee4a/.config/fish/config.fish
s-zeng/dotfiles,.config/fish/config.fish,https://github.com/s-zeng/dotfiles/blob/52a06b9649b6717e74ae65714adf71eccac2413f/.config/fish/config.fish
stopdesign/dotfiles,.config/nvim/lua/plugins/chat-gpt.lua,https://github.com/stopdesign/dotfiles/blob/e16b67525a47323b46fbb5e418829c8229d8131d/.config/nvim/lua/plugins/chat-gpt.lua
polsust/dotfiles,.config/fish/config.fish,https://github.com/polsust/dotfiles/blob/49792f751bd8b5523080c314353e835f8bfb8e92/.config/fish/config.fish
voitd/dots-nightly,.config/fish/config.fish,https://github.com/voitd/dots-nightly/blob/9a86a71b5df91d786e1925afc9e4ba490954829f/.config/fish/config.fish
CheesyChocolate/.dotfiles,.config/root/official_pkg_list.txt,https://github.com/CheesyChocolate/.dotfiles/blob/e4fc02ffbc04a4e0afe8ac139306b42dd4c3a8e3/.config/root/official_pkg_list.txt
IndoproGMR/IndoproGMR_Framework,.config/.env.template,https://github.com/IndoproGMR/IndoproGMR_Framework/blob/6671667f7951ed779253be0d708d7a7bbb18f786/.config/.env.template
adam-leigh/.dotfiles,.config/homebrew/leaves.txt,https://github.com/adam-leigh/.dotfiles/blob/de6f0f5a96b39204eac415bfc6a491a5dc62f1d3/.config/homebrew/leaves.txt
cuberhaus/dotfiles,.config/texstudio/dictionaries/LanguageTool-5.7/org/languagetool/resource/en/hunspell/spelling.txt,https://github.com/cuberhaus/dotfiles/blob/e2d2ac54db9fdeae75216bce9774f795050dfb2d/.config/texstudio/dictionaries/LanguageTool-5.7/org/languagetool/resource/en/hunspell/spelling.txt
itokun99/dotfiles,.config/fish/config.fish,https://github.com/itokun99/dotfiles/blob/03830024dcfd5ec9ed215851ce877cdc02df6082/.config/fish/config.fish
