Repository,File Path,File URL
NVIDIA/garak,README.md,https://github.com/NVIDIA/garak/blob/cda3990bf8b6652a9a97bc1878b3f26e2c559084/README.md
netease-youdao/QAnything,docs/API.md,https://github.com/netease-youdao/QAnything/blob/65de10426b99d5945b8c616a4814afa5a92826cb/docs/API.md
Hassassistant/OpenAssist,INFO.md,https://github.com/Hassassistant/OpenAssist/blob/a5023f061486ec9647cabecb9d596d897bd60a5e/INFO.md
brunowego/cookbook,aider.md,https://github.com/brunowego/cookbook/blob/fd9c3562c42c6d437a1a40135629f8cc9074ace1/aider.md
FantoX/Atlas-MD,a.txt,https://github.com/FantoX/Atlas-MD/blob/14614e085d1661a2d1fa62c1f87f1b66c9d3aa45/a.txt
yuanjie-ai/ChatLLM,LLMS.md,https://github.com/yuanjie-ai/ChatLLM/blob/8a8007630b3dca32ebe87e8a9a1f553fa1d2abae/LLMS.md
huggingface/blog,rlhf.md,https://github.com/huggingface/blog/blob/e051aa42bb00153a5d19a7164abcaa64b93a8037/rlhf.md
ty4z2008/Qix,dl2.md,https://github.com/ty4z2008/Qix/blob/86590e563cb69c6f44b10fb645c227c16873e71d/dl2.md
karthink/gptel,NEWS,https://github.com/karthink/gptel/blob/af4ddb1dffe96461501c08d061d51ac2dbe99c77/NEWS
GitHubDaily/GitHubDaily,2021.md,https://github.com/GitHubDaily/GitHubDaily/blob/1e91ec4f6c480caffd3adfec7f7bb5e57920c382/2021.md
mmanis88/citizenAI,apis.txt,https://github.com/mmanis88/citizenAI/blob/1cf9f357d8c126b590665f013bea334c2ec9d054/apis.txt
kubetoolsca/krs,aks.md,https://github.com/kubetoolsca/krs/blob/f2af89aee7c3317d67dc51eb016168a948bc70d3/aks.md
IvanCampos/visionOS-examples,ChatAVP/README.md,https://github.com/IvanCampos/visionOS-examples/blob/e4b51125b53cf25cc8ee171d76d5410738369a50/ChatAVP/README.md
cjguajardo/NGPTServer,.env.txt,https://github.com/cjguajardo/NGPTServer/blob/ed8e0950f23cfe96c889887332173515ad740622/.env.txt
